,JwMarriot_reviews
613,"Looking for a perfect Sunday Brunch place? Head towards JW Marriott, Juhu at their Lotus Cafe, which has a colossal brunch spread & I'm sure you won't exit being disappointed!  So, we visited Lotus Cafe by JW Marriott Juhu, for their Sunday brunch.  We were stunned by the hospitality at JW Marriott and were well greeted at every point.  The Sunday brunch costs around 2900+ taxes for a non alcoholic brunch and 4250+ taxes for an alcoholic brunch.  As you walk down towards the cafe, you can get a glance of all the live counters.  To uplift your brunch experience, they have set up a live band performance. Such a delight to hear them while hogging on some good food.  They have the following counters:  Chaat Counter:  You can get all the varieties of chaat like Pani puri, Sev Puri,"
614,"I travelled from Pune and my mum travelled from England during Diwali to see each other after we hadn't seen each other in 4 months! I am going to an international school and we met at JW Marriott hotel and couldn't of asked for nicer, more helpful staff and an amazingly beautiful hotel. The room was lovely and comfortable, with a lot to do around...we would definitely recommend Linking Road for a good market.  There is a lovely pool to relax in, as well as a variety of tasty food for breakfast. There is many nice restaurants around if you do not want to pay for the dinner, but i would definitely recommend the breakfast!"
615,"For me it is home away from home. This hotel provides you a luxurious stay but with its personal touch. Excellent beach facing rooms. I always enjoy the stay , food and hospitality of this hotel.  Do try it out !"
616,"This is one of my favourite hotels in the world and it always feels like coming back home here. Stayed for a weekend as needed a get-away from the cold of the fast approaching winter.  The hotel front desk are terrific - Priyanka, Mahesh, Gaurav and Shruti made sure I had everything I needed and quickly resolved any issues I encountered.  If you need a massage after a long journey, head down to the Quan Spa and book a treatment with Rupesh. This therapist has got the hands of God and you would walk out a brand new person after a session with him.  Breakfast was plentiful and I over-indulged on dosas and parathas. Chef Binu (apart from many other chefs there) introduced me to a few local dishes, and generally made sure I was well looked after.  A big shout out to everyone in the"
617,Swimming pool and Jacuzzi was amazing. Food-spread was good. We enjoyed our stay . Rooms were well kept and clean. Proximity to Juhu beach and the separate short-cut was good to use. Had visited the ISKCON temple which again was close to the Hotel.
618,"Great hotel, helpful and happy staff, always smiling and greeting you. Had an excellent buffet dinner last night and a banquet brunch this morning. So many dishes for vegetarians and chef able to accommodate egg free dishes on request. We had a number of Gujarati and local Mumbai dishes and a few egg free pastries. Masala chai is delicious and a waiter comes around with small glasses and a large tea kettle and he serves at your table. Also recommended is the fresh watermelon juice. The hotel has lovely grounds around the pools but too hot to go to the beach."
619,Throughout my travels in India I must comment on the wonderful attention offered by the staff at this Marriott location.   My dinning expectations have always been exceeded.   I must personally commend Chef Vineet as to his personal attention to my tastes and dietary needs.
620,"Stayed here for 4 days. Excellent location along side the Juhu seashore. Building is very old but structure is very open with a lot of sunshine coming into the building and room. Food was great and the chef, whose name is Vineet, was very accommodating and even offered to cook the spaghetti that was not in the buffet menu. Great service. One down-side is that the room was very dirty. I noticed a lot of dusts on the floor when i first got in the room. The building is old and I do not expect new and immaculate room but it's just the flood was very dirty. Dusts close to the window were shining reflecting the sun. I asked the cleaner to clean up and it was immediately done but still the dusts were around everywhere. The cleaners must have swiped with the mop with a lot of wet dusts"
621,"The room was not clean when we arrived.  The Mini bar was not filled every day and just the bare minimum even not fruit juice.  The same for the capsule of coffee and tea which not replaced daily. I ve also asked for some  sleepers as mine was keeped in the SPA .  When ON THE WAY to leave the hotel ,  we waited nearly 45 minutes for baggage service for coming to  take luggage from the room.  Then we had booked the car to the airport 8 h in advance and to the appoint of departure the concierge  said first also that no  vehicle is available then just a small car or we had difficulties to put our suitcases. The concierge was very rude also departure with a rudeness as he also shouted  me in front of many other customers to make the check out ! When I told me that it was already"
622,"We have just returned from our visit to the JW Marriott Juhu in October 2018 - our third visit to the hotel. All three visits have been a memorable and enjoyable experience and a feeling like a home away from home! Excellent location and extremely friendly staff who are always available to help. A special thank you to Hashmeet (Front-desk Reception), Priyesh and Rony (Executive Lounge), Chef Tanmesh, Chef Binu and Akshay (Lotus Cafe), Shrikant (Restaurant Manager), Gaurav (Director Food & Beverage) and Sumesh (House Keeping) for their welcoming hospitality and exceptional service. We hope to visit again very soon! Our best wishes for Diwali and happy new year! Best Regards from the Shah Family."
623,"I stayed 4 nights in this wonderful hotel.It is a 5-star hotel in every aspect, really excelled! The room (deluxe) is fabulous and has every possible detail to make your stay enjoyable. The impeccable service with a helpful staff, smiling and attentive to the needs of the guest. The SPA is fantastic, breakfast is amazing in choice, quality and presentation. In short, it is definitely the hotel to choose if you happen to visit Mumbai - it's just perfect!"
624,We visited this cafe on a friend’s recommendation and were not disappointed. JW cafe offers different cuisine food stations for everyone. We didn’t try all the food station as we were so full due to so much food options on offer. The cafe is quite spacious and the cafe staff are very attentive. We loved the atmosphere in this hotel and intent to stay here on our next visit. Thanks for the experience!
625,"A 90 minute massage for us was extremely rejuvenating and one steps out feeling as good as new. A must visit, if and when in Mumbai. From the time you are received and prepared - until you are all robes and seen off, an experience worth noting in a personal diary."
626,"I must compliment the hotel staff @ the JW Marriott, JUHU, Mumbai, India. From Phoebe at Front desk reception who graciously re-accomodated my room request without hesitation. To the  welcoming staff at the front desk. And most definitely Chef Binu @ the Lotus Cafe! He was  friendly, professional, helpful & extremely accommodating! His warm & friendly smile warmed the hearts of me and my colleagues. We thoroughly enjoyed our stay. And I loved the room views, even @ night."
627,"This is the second time I've stayed at this hotel, and this time it was better than the first.  Shabaz checked us in and it was swift, he was friendly and very professional.  The room was great! Newly renovated and very clean and spacious.  Coming from another hotel which was incredibly noisy the peaceful and restful sleep we got at the JW was welcomed!   Breakfast was superb as well as the spa experience.  Will most certainly return!"
628,Please do not take this membership by any chance.   They are cheats and have hygiene issues as the buffet in the desserts section had insects and flies crawling over the cakes.   In the pool I was stung badly by a wasp and the pool manager had no response for the same.   During the stay the room had a broken shower and no hot water.   The next room the tv was not working and the coffee maker had electrical issues.   They change the pool rules arbitrarily and cheat members.   All these feedback is given and they are calling back for a renewal shamelessly.
629,I love the Jw Marriott Juhu . It is my home away from home . I have stayed the longest this time around  and absolutely loved it . From the staff at the hotel to the Resturant’s and exectiuve lounge  service was amazing  .I would like to recognize some people that really made my stay very special . At the front desk Mahesh Anand and Akshaya Dixit the wonderful Managers who really took care of me and my every request . They were very Profesional and polite .  The Guest relation staff Amen had always a smile on he face and made me feel very special.  In the house keeping  department Michale and Taraka were always taking care of what I  needed . In the lotus Cafe  Paragh  always waiting to serve me my tea and breakfast  every morning. .  I love the Indian hospitality . I can’t wait
630,"Just returned home after a 4 night stay and can’t thank you enough for our great stay- great check in , executive lounge and room were fantastic  Staff and service were spot on, a special thank you to AD ( Aditya) who made a massive effort to bring us special foods to try every night. All dining room staff were fab   Concierge arranged a car for us to take a tour of Mumbai promptly which was a great service   Overall a great hotel I only have two negatives as people have mentioned previously there are a lot of birds which congregate around the pool - staff could do with cleaning up after them more often and trying to prevent them with some form of bird scarer or pest control method and secondly butter should be available at the morning buffet we had to ask every morning which"
631,"A fine hotel. Comfortable rooms, lovely lobby, very good restaurants, great views of the Arabian Sea, and all in a very nice part of Mumbai. Why struggle with the traffic and crowds in Colaba, when you can relax in Juhu."
632,"Very bad and disappointing service for booking banquet hall..I called for booking the banquet hall.. They just sent a mail.. No one even ready to discuss anything further. Even after repeated requests, no one even called..eventually booked at taj lands end.. taj is taj.. Excellent service.. Just after calling once the assistant manager AT TAJ regularly called me up and called me for discussion and closed in flat 2 days.. Wanted to book marriot as the ambience is good.. But after this experience.. NEVER.."
633,"I have stayed at this hotel numerous times but on my most recent visit I was disappointed by service and standard.   The staff fail to provide a personal or even polite service. After seeing people pushing in front of me whilst waiting to check in, the staff continued to serve the person that pushed in.  the rooms are incredibly small.  The only saving grace for this hotel in the breakfast."
634,Its all about service standards at such places (the front desk in this case) ... And when the expected is below that... It becomes disappointing... And when the issue raised is not even acknowledged... It becomes a very disappointing experience !!!
635,"A very nicely done hotel with nice rooms A see view,good for family stays Great swimming pool a very nicely dine Spa,Ms.Gunjan is really taking efforts to give the best spa experienc,good sumptuous buffet."
636,"The experience here is definitely a bit Jekyll & Hyde. Inside the hotel, the service is second to none. No request is too demanding, the food is outstanding and thehotel and room interiors are lovely.  Then you go outside. At first view the hotel pool area also looks beautiful. But on closer examination the whole pool margin area is covered with pigeon faeces, left by the flocks of pigeons which congregate undisturbed around the pool. These faeces are then washed into the pool by the backwash from swimmers. If this pool was in Europe Environmental Health would have it shut down.  No attempt is made by hotel staff to scare off the pigeons nor in any of my visits, to clean the poolside or the sun loungers.  A real shame, as I said, since inside the hotel is great."
637,I was speechless with the friendliness and service of the staff.  So many names to mention but here are just a few  1. Alok Verma - main chef - wonderful person truly devoted to his work and genuinely interested in guests' needs - nothing was too much trouble  2. Binu Matthew - another chef - very hospitable and caring   3. Shivangi Prehan - in charge of bakery - made some amazing sugar-free sweets which was very thoughtful of her  4. Gunjan Chawla - head of the spa - very thoughtful and helpful in selecting spas and taking care of all matters.   All the staff in the Lotus cafe - especially Rahul who served us with entuhusiam and in the Executive Lounge - Chingla for her wonderful service.  Also special thanks to Vikas Arora who went out of his way to source a memory foam pillow
638,This Hotel I stayed in Dec 17 for two days. This is one of best  Marriot hotels I have stayed. Because of  Family Member Platinum status upgraded to  executive suite which was very spacious and luxurious.  Service was very good.  Breakfast was delicious .
639,"I was delighted by staff's courtesy extended at every occasion, it was like everyone was trying hard to increase the experience for me, starting from check in to check out, room services, food, general queries etc all perfect to score 10. Everything is upto the standard of 5 star stay."
640,"We stayed for 5 nights with friends and had a fantastic time.   The city was full of energy and a bit chaotic so it was always nice to return to what felt like home by the end of our stay.  Special thanks to:  Ashang, Rony, Kunal, Chingla and Pryesh in the lounge area.  Roshan and Gitesh at Dashanzi for an amazing meal with superb desert.   Livi, Shashikala, Vrushali, Fifi and everyone else in the spa.  Vaibhav in Lotus Cafe.   Sorry if I missed anyone - you were all wonderful, I just couldn't catch your name. :-)"
641,I have stayed at this property a few times before. There are some problems but I overlooked them. The last time  8/22-8/24 was totally disappointing.  1: I was given a room with not even water bottles at check-in. Now I don’t even know if the room was cleaned or sheets changed. It’s frustrating to check in to the rooms where you don’t provide water bottles? This is a 5 star experience? 2: There is a constant renovation work going on from several months. It was still manageable before. Last stay was frustrating. There is so much smell of paint and dust all over the lobby and lift area. Its suffocating to walk through those corridors from the lift to the room. Why can’t you give guests rooms on floors that are actually clean and maintained? We stay for a couple of nights come back
642,"Being in one of the most beautiful locations in Mumbai, facing the sea and close to all the local haunts is a huge puss point. Great for business meetings, as the staff is super helpful & courteous. From Sheldon and his team helping us all the way to make our conference as smooth as possible. Whereas Mehul, Sarfaraz & his team made sure the check in was smooth (150pax) and in an orderly fashion. Their breakfast restaurant Lotus and their poolside cafe is worth a visit. My favourite being the Bombay baking co (BBC) with it's ever helpful staff (lead by Sachin and Arsalan, Ravi, Reshma & Pabita) seeing to all your needs with a smile."
643,"Recently I visited JW Marriott to celebrate my birthday at Dashanzi restaurant. The experience was unique, very professional service, the F&B manager Bensan took care of every single detail, with the assistance of Mehanshi (my apologies, probably I spell the name wrong) and chefs. The moment we arrived we got cocktails at the bar, which are very creative and tasty. Later we tried their menu which was delicious and the night closed with a playful ""happy birthday"" surprise. Just a perfect evening from a fantastic team!"
644,"If you haven't visited or if it's been a while, your missing a great secret paradise. Step within the hotel grounds and the senses can take you wherever you want to go in the world. Especially fantastic cuisine thanks to executive Sous Chef Alok Verma and his team."
645,"One place you should always go when possible is because of the diversity and innovation in the food menu. They keep introducing new dishes every now and then making it always interesting for everyone coming in regularly. Food is awesome, Service is super quick and polite. Ambiance is simply outstanding. I am sure you will want to visit again and again just like I do."
646,"Stayed here for 4 nights recently on a business trip and really enjoyed it. For me location was ideal; close to the airport, not in the south, not in the north, kind of the middle. Check-in was done on the mobile app and my key was ready when I arrived. I had a room on the 2nd floor, lounge is on the 4th. My room didn’t have a view of the pool or ocean but it was very comfortable and quiet. Comfy bed and all of the standard Marriott amenities, except I never received any body lotion during my stay. Started to wonder if they even offered it at that property.  The hotel is huge and is quite popular with locals (meetings, events, brunch, weddings, etc). The brunch on Sunday was so crowded I couldn’t even eat there. Settled for the Bombay Baking Company, which quickly turned into my"
647,I have visited with my girl and the room which i found that was completely sightseeing of the sea face and that was lovely So advise to all of my user that visit je marriot when you come mumbai its a best place
648,Stayed here for a recent business trip.  Food at the hotel was outstanding and the staff was exceptional.   The breakfast buffet was very good and the five course dinner at Saffron was a nice experience. Good workout facilities and pool area.  Very nice hotel.
649,"I am a regular guest of this hotel but this time the stay was not that good n comfortable. The staff was not courteous enough to know about my needs. I had terrible issues with in room dining. The services by housekeeping and in room dining were terribly slow. Even at the time of check out I tried to give a notice about my zero satisfaction, person on front desk just said sorry. I paid my bill n left. Anyways I might not be a part of this hotel again but definitely not Marriott standards. The lotus cafe and Bombay baking company staff is phenomenal, atleast the hotel staff can learn from them.  I stayed here on 30/09/2018."
650,"The most beautifully luxurious hotel in Mumbai and my personal favorite. The hospitality is so good that it feels better than home. Would recommend this hotel to everyone for the delicious food it serves. The more you visit, the more you'll fall in love with the sea view and ambience."
651,Had lunch at this lovely place the restaurant is lovely and it is near the pool which is a infinity pool and you can see the Arabian sea and this view is so amazing. its a breathtaking one and you will love it. the food was also great and they have a amazing spread of collection and i loved the continental section.
652,Just a great property. Fantastic location in Mumbai. Great rooms. Great pool and gym. Fun and cool people always around. Breakfast is awesome. The executive lounge is a special place. Service and view are unmatched. One of your best options to stay in Mumbai.
653,"Wonderful property lavish style and Ambiance awesome in heart of Mumbai. As always Food variety and taste awesome  Staff too warm and friendly and pamper you during Buffets morning or evening! Amenities wonderfully designed, pool huge and gives royal looks. Best part of hotel is the proximity to sea beach as its situated on beach side, one can easily walk through to beach and enjoy sea!"
654,Really good place to stay! Great atmosphere and amazing staff! I think the team here are so helpful and that s what makes it a pleasant place to visit. Saif at reception - always happy to help and great person. We had taken a break in between our 4 day stay as we had to travel to Gujarat and the hotel was happy to store our luggage.  Food at the lotus cafe/breakfast - delicious! And once again accompanied by great service (Thank you Rahul and Kaustubh!)  Special thank you to Sandesh and his house keeping team - we misplaced some items in our room when we checked out the first time and they had safely stored with lost and found when we came back - very honest and hard working team!
655,Great place. Excellent rooms. Well maintained and clean. Good ambiance. Close proximity to good eating places. Hotel has good eating options as well.  Buffet breakfast has good options including healthy eating options.
656,"I have to say this hotel is on top of my list. Fantastic service,  a 5 star for cleanliness, super friendly staff, great rooms...very spacious, lovely view of the beach. I think it's ideally located with shopping at your door step and also the international airport being just 30 mins away. Taxis are very easily available.  The breakfast here is to die for..... fresh hot croissants are my highlight... then there was a variety of stuffed parathas, dosas, Puri aloo and I could go on and on. Also you have to try their buffet... it is just awesome... a variety of cuisines to choose from....be ready to activate all your taste buds !! 😊 I have to compliment Binu Mathew for the service with a smile and Pramit Konar, the chef.   The ambiance of the hotel is wonderful.... feels like a"""
657,Hi stayed at Marriott.  Had a amazing experience.  The  dashanzi bar staff where great especially dhiraj shetty.  I thought he was the manager.  Because he was so professional. I think he needs a promotion.  The D J named sandeep was fab! He played every song we requested. Would highly recommend this place .
658,The housing keeping team is the best in the world .... their gesture to offer me a Muslim prayer Matt was extremely nice and touching .... the front office team is one of the most helpful I have met any where in the world
659,My friend and I  visited the bar a few days ago and cannot speak highly enough about the staff at the bar and the DJs.So welcoming.Especially Dhiraj Shetty.Lovely lovely guy who made us feel very welcome  Minal and Sam
660,"I stayed for 3 nights and the room, the service, and the food were all fine. There is a beach but I never walked out there - it is Mumbai and not the most inviting beach. Local area has shops and restaurants, and overall I was pleased with the convenience. The pool seems nice but instead I used the gym, which is excellent. I have seen the other hotels in Juhu, but in my opinion, this is the best."
661,"My wife and I recently stayed at the hotel for a month - the second long stay there this year.  It is an excellent hotel -  but special mention must go to Sumeet, Kaustubh, Priyanka and Rahul (Bhai) in the Lotus Café for they were a joy and looked after us with a politeness and kindness that went beyond the obligations of their jobs.  They all deserve promoting!  On our day of departure we did try to tip them for the care they had provided - but they all refused.  One, not insignificant, complaint:  on the day I checked out I requested that I pay my bill in rupees.  When I returned home I discovered that I had been billed in sterling which, because of the hotel's usurious exchange rate, was significantly more expensive that it should have been.  This shouldn't happen."
662,"I’ve never written a review but felt compelled to do so after visiting the Juhu Marriott. I can honestly say I had the most wonderful experience and received impeccable customer service. We stayed in room 562 for about five days and just left on Saturday and I cannot stop thinking about how wonderful my time was. The staff were very attentive without being annoying and every thing I had requested was responded to immediately.  The cleaning staff were delightful; I never really got to meet them but they’d leave little things daily for my one year old son, such as balloons or towels placed as animals.  The breakfast staff were also truly accommodating and made me feel very welcomed every breakfast, especially Kaustaubh. Next time I am to visit India I would without a doubt stay"
663,"I didn’t enjoy my stay here and definitely won’t be back. I tried to change hotels but it was too short notice, the nearby hotels were fully booked. I chose this hotel for the view but my room (an executive club) although listed as ocean view in reality only had a partial view. Despite attempting to check in ~17:00 (i.e. 2 hours after check-in commenced) I had over an hours wait. Then my suitcase went missing, it took over two hours to be re-united with it. It was obvious the room (420) had not been cleaned properly just quickly straightened up. I noticed a pair of slippers by the bed and assumed that was part of the turn down service until closer inspection revealed that they were a used pair. The room was just dirty, there were stains across all of the hotel literature, the"
664,Just now I checked in the hotel. - It took 1 hour to get keys. - Waiting since 30 mins still didn't get the luggage. - Fail to contact reception because all of them are busy assisting others. Stay at this hotel not  worth at all.
665,"As always, I think business hotels focus on facilities rather than the more warm elements of a lovely welcome. Thankfully, such behaviours does not apply to this hotel. I was welcomes with wonderful smiles and will most definitely stay there again. Definitely worth the visit for amenities, food, and all round hospitality."
666,"One of the best hotels near the airport in Mumbai, very nice room, very often they give an upgrade of the room. Breakfast is top notch, pancakes, eggs every way you want! Very easy checkin and checkout!"
667,"This is my second review and this I am writing after staying nearly 70+ nights in last two years. Property location is no doubt very good. It has an ambience and upkeep like of an resort. But over the last 2 years, I have seen a consistent degradation in the services and issues in the billing. Whenever I had taken any other paid services like Laundry, there were always billing issues. Hotel staff is getting replaced like play cards. Every time you see a new face. I am surprised on such a high attrition rate of employees. Nevertheless its management call. But couple of things which I have been experiencing : Focus of hotel is now more on bulk bookings and grand ceremonies. Nearly zero focus on their loyal customers. Its not me who feels so, but its general perception across the"
668,I have travelled all over the world but my experience at JW Mariott Juhu Mumbai is beyond expectations. A very well located hotel in Mumbai. Amazing ambience and a very good food. The staff makes you feel very much like home. Very welcoming and polite. I must make a mention of Chef Binu Mathews from the Lotus cafe and also Chef Shivangi. They made sure that we had variety in our choice of foods. They were like family always there for us with their warmth and efficient service.Highly recommend this hotel for any tourist passing through Mumbai.
669,"We have been to Lotus Cafe, nice Ambience, decor was great, from the start till end Everything was just Too Good, Servers we're very polite and professional enough they took good care of us, food was too good...."
670,"JW Marriott has been my home away from home in India.  I have been treated like family every time I walk into their doors. The staff is incredible and has gone out of their way to both help and serve me in the countless times I have now stayed there. There are too many to name, but Akshaya and Sarfraz at the front desk are exceptional. The concierge and bell desk team are wonderful. Gunjan and her team at the spa are excellent.  The dining staff and team at Bombay Baking company like Stefan, are all like family.  I cannot thank the staff at this hotel enough for making JW Juhu feel like my home.  It’s also the most beautiful premise with amazing grounds, beautiful rooms, a wonderful spa and an infinity pool the edge of Juhu beach.  I love this hotel and couldn’t recommend it"
671,"Spacious rooms with limited sea view. And long walk from elevators. Too much traffic outside. But once in, it's an oasis in desert. Too much crowd on Sunday for brunch. Parking is away from hotel, so waiting time is more."
672,"Was there for 2 days for a corporate event, hotel is at a superb location just in front of Juhu beach. JW brand is synonymous enough for the service being offered at this place, what is cherry on icing is that far side rooms have a breath taking view of the beach, specially the 4th and 5th floors. Food is good should definitely visit their main restaurant situated at Lower Lobby and their their roasted chicken, if you are a non-veg."
673,"My only go to place when I come to Mumbai. The staff here are fantastic, from check-in, to during our stay and check out, I can fault none. I would like to give a special thanks to chef Binu Matthews who went way above and beyond our expectations. We were fasting on one of the days and, on the very same day travelling out of the city in the early mornings, where he had offered and delivered our falhari breakfast before we departed at 6.00am, which was an impeccable gesture. Housekeeping - Jose did a great job during turn down. Ruchira Todankar who checked us out left me with a great smile while I left the hotel.  The team here made me and my family feel like home. Thank you very much for your hospitality!   Anisha Kunvarji"
674,"Only one word to describe this structure: stunning. The hotel is amazing, the service even better. The pool area, right on the beach, it's outstanding. The staff is professional, helpfull and friendly. The room was clean and tidy with a very interesting bathroom set. Breakfast was amazing. You shall try the Sunday brunch... No words to describe it. If you are ready to pay the right price, you will enjoy an unforgettable stay."
675,Such a grt place wid the warm Welcome from Rahul and Aman !!! Thanks guys !!!! Highly recommend for people who Loved the continental !!!! The atmosphere amzing !!! The menu very simple and prices are very reasonable
676,"My name is Rabia Jakhura and I’ve been a guest at JW Marriott Mumbai for the past two years. It is the warmth and welcoming from the hotel staff that makes me want to come back every year. I will list a few names of all the people who really made my family and I feel special and always give their 101 % I’m making guests feel welcome.  Below are some names of the staff at JW Marriott that make the hotel and deserve some sort of incentive.   Lotus Cafe: Satish. Anil,Shivam, Bal Krishna, Sumeet, Vijay, Priyanka, Aishwarya, Roshni, Tarandeep  Chef Alok and Chef Quddus- absolutely amazing and they gave us the most memorable experience and warmth we’ve experienced anywhere. I cannot wait to come back and see you chefs. They’re so good I might steal them from Marriott and open my own"
677,First of all I liked the environment and the situation of the hotel. Great service nice suite great amenities. I liked it all though it was a little out priced could be a bit less but though speaking a great hotel.
678,"On my way to Berlin, via bangalore and mumbai, on business, I stayed at this superb hotel for one night. It was organised by my business associates and I was always looking forward to my stay at this very amazing hotel.  This is without a doubt a celebrity style hotel, celebrating the very essence of magical Mumbai, Mumbaikars and Bollywood. So much so that, within that one night stay, the hotel staff showed my a few Bollywood stars and Indian cricketers who were at the restaurants. This hotel is filled with sights and sounds and mesmerising mumbai magic.  Superb food. The kitchen department is easily one of the best in the world. Especially the Indian cuisine, a brilliant variety of dishes are made from the heart. Wow.  Very comfortable rooms. Well designed. Extremely good and"
679,"So the hotel location is perfect, however there are a few things about this place that just did not sit well with me. Firstly, it's India and everyone and their grandmother is getting married so I understand that the hotels are busy with weddings, but waking up at 5:30am to loud music from the next room over was not a pleasurable way for me to start my trip especially when I landed at 1am and finally got to sleep about 2:30am. The thing that bothered me was when I called the front desk( all three times) there was not sense of emergency to do anything about this. It took them 45mins to send someone up to ask the guy next door to turn off this music. Secondly, the hotel has a huge buffer section in the lower level which is open to the main lobby area, in the evening he entire"
680,We r enjoy them bar and restaurant it’s awesome place to spend time with friends.we enjoy lots them service and food.they give us superb service in bar and restaurant I recommend to go there atlist once so u understand what is the service
681,visited with friends in this hotel for dinnerand had an amazing experience.wonnderful ambience wonderfulfood and most importantly the best staff.starting from the main entrance till the restaurant everyone were amazing
682,Rooms are excellent. Breakfast was awesome with lots of option. It has own entry for visit to beach and its very clean. Only the occupant of the room can enter the activity area. Fitness equipment are of high quality. Staff are very courteous
683,"This place is on the expensive side but if you get a good deal, it may be worth it. The lunch buffet has a great variety and the hotel ambience and staff service is good. The location of the pool near the beach is a big plus."
684,Dinner at lotus cafe was an amazing experience Rahul Mishra and Satish Rajat   who were serving us was very cooperative and good with their services The food was very good as well even the ambeince is very nice.
685,"This was my my second stay at Marriott Juhu . Rooms are big, staff is good and restaurants are amazing specially zafraan😍 . Many shops are nearby plus good restaurants and cafes. Also Bandara is close by and infinity mall as well. So if you are looking for relaxation and shopping.. Marriott is the place 👍🏻"
686,I stayed here on my first trip to India.  The hotel is old but in good condition and it looks like some of the rooms has been renovated.  My room had a view of the beach but its not recommended for swimming.  The pools look good.  The breakfast buffet was impressive and as expected the staff were excellent.
687,Everything absolutely stunning from the service down to the last detail  Such friendly staff loved it would stay here if i could  totally recommend this amazing place - shivam druvi and akshay best waiters and aslo the beautiful tarandeep ❤️
688,The food and service were excellent.  Everyone was very attentive and hospitable.  I thought a dish was too salty and the chef prepared a something special for me the next day. Sundeep and Herbert were especially great in the bar.  I was working until late every night and they made sure that I was comfortable and well taken care of :)  The only partial negative is the front desk staff were slow and not very well informed.  The Bell desk staff was very helpful.
689,"Worst hotel among the JW I have stayed so far. Upon asking sea facing room they gave me a corner room (wasn't a completely sea facing) it was very ordinary room, seemed as if it's a three star hotel. No bath tub. In the food, there was hair, in the water glass there was a mosquito. They tried to make up but....."
690,"We have been a regular patron with JW Marriott, Juhu. For 8 years now. This year we even went ahead and took the Club Membership for the entire family.  We have been highly impressed by the service, until recently, since one Mr Datta has joined as F&B manager at Lotus.  He, for some reason, seem to have personal strife against my family eating Lunch/Dinner or Breakfast. On every occasion, he has made the experience unpleasant, by being rude, unattentive and opposing every request as 'not in policy', something as simple as my 7 years old daughters left over on breakfast was asked to pack. (while this was going on for every other table except on ours it became a 'no policy')  and for 2 mini paratha served during breakfast was charged separately at INR 1950, whereas the buffet"
691,"I had the pleasure of having an aromatherapy facial with Maharashtra yesterday. What a facial!!  It was the best I’ve ever had. The products were exemplary and she provided a professional, luxurious experience."
692,The staff here is so clueless about any information. I was booked in for a day and told the man at the reception that I might be extending my stay. He informed me that I can let him know at my convinience. After a busy day of work I come back around late noon and inform the reception that I would be extending my stay. And I'm blatantly told that I will not be able to because they were running full. If there was such a huge occupancy then I think I should've been informed of it when I asked about the extension in the first place. Not when I've already changed my tickets thinking I could extend my hotel stay as well. Now I am left with a staff that is the least bit interested in solving this issue nor do they care about the satisfaction of the guest. Honestly I did not expect this
693,JW marriot properties are always the best in every city and state of India. I am from chandigarh. The hotel in mumbai is nice and has some great lobby area along with the suitable comfort seating . The staff has a nice attitude towards its customers I had spent around 3-4 hours here having a meal with my family members some years back.. The tea which they serve is best in town but the rates were touching sky . But we cant do anything its the most beautiful hotel in mumbai so we need to pay the bill.. Overall the hotel has alot to offers to the public .
694,"I spent almost a year living at this hotel for work, it was a wonderful place to stay. The staff are top notch and always looking to make your stay an amazing one. I definitely recommend the JW Marriott in Juhu."
695,"Service is impeccable, From checking to Check out.  The Food is Excellent. Breakfast buffet is absolutely Delicious. If your a platinum member the lounge is beautiful. This is the best food I’ve had at any Marriot lounge. If you come to Mumbai it’s the only place to stay."
696,"We were here for our vacations and were disappointed by their food and staff services. The food was not up to the mark and the staff was not cooperative n guest friendly. We had to ask  at least 4-5 times to get one roti. The staff was very less in number and were not able to reach every table.  The rooms and the other things were up to the mark.  Recently we visited courtyard Marriott International Airport.   The food, the staff , the services n everything was far more better than JW Marriott Juhu.  Our only concern for JW Marriott is to improve the food and increase the staff for providing better services."
697,"Really enjoyed our family dinner, at Dashanji. We were celebrating my wife’s birthday and cudnt have chosen a better place. The food, ambience, service .. everything was impeccable. Bensan Varghese- asst manager & his team made it even more special. DJ Sandeep played super music and we had a fantastic evening. Definitely worth a visit."
698,"Have been to Mumbai multiple times and have stayed in multiple hotels over the years but since the last two years have stayed at Marriott, Juhu three times because it consistently overshadows all other hotels. Location is excellent...close to the airport and at the centre of modern Mumbai, reasonably distanced from south as well as north Mumbai. For those who like beaches, Marriott is literally a footstep away from Juhu Beach (not that Juhu is the greatest beach in the world !) Check-in is fast and smoother than James Bond !(must mention Saniya at Front Desk here, who was quick, efficient and friendly) .The view of the sea from the suite was breathtaking.The suite itself was comfort personified. For a change, five-star hotel food was delicious and the whole experience was"
699,I had a really nice 2 and a half week stay at the JW Marriott Juhu.  I would like to thank the staff for a very nice room that they gave me overlooking the beach.  The room was very well kept by housekeeper Siddarth.  He and his management team make sure that I was well taken care of and they kept the room very clean and made sure I had what I needed.  I was very well looked after by Kunal from the Executive Lounge.  He is a very personable and caring individual and made sure that I was happy and had what I needed.  He takes care of his guests and is such a joy to have around and see every day.  He truly cares for the guests as evidenced by the little things that he did for me during my stay after he learned about my preferences and likes.  The chefs at the various restaurants
